Prospect (site/name),URL,Type (self-serve / editorial / directory / stockist / blogger),Score (1-10),Band (A/B/C),Authority Score (Semrush AS),Contact name,Contact channel (email / form / WhatsApp / IG DM),"Angle & asset pitched (e.g. PCOS data piece, vitamin-D tool, stockist listing)",Assigned to (Owner / Tanya),Status (To do / Sent / Followed up / Replied / Link live / Declined / Dead),Date first contacted,Follow-up due date,Reply? (Y/N + one-line summary),Link URL (the page linking to us),Our page linked to,Anchor text used,Dofollow / Nofollow,Date link verified live,Notes
Marham Health Hub,marham.pk,blog,7.5,B,"medium-high (16,000+ doctor platform)",,Contact page at marham.pk/contact (footer),Tool/resource mention: pitch the ovulation calculator and fertility quiz (with the one-third female / one-third male / one-third both stat) into their Women Health articles | asset: https://www.yellowpink.pk/ovulation-calculator + fertility quiz,,To do,,,,,,,,,"https://www.marham.pk/ live; Health Hub publishes Women Health, Healthy Lifestyle and Skin Care articles"
Sale Rozana,salerozana.com,directory,7.5,B,14,,Submit-a-sale / contact page on salerozana.com,Directory/brand listing: submit every Yellow Pink promotion — they generated 120 dofollow deep product links for Makeup City alone | asset: Sale events and discounted product pages (canonical www URLs),,To do,,,,,,,,,https://salerozana.com/makeup-city--40-off-kryolan-989 (dofollow 'Go To Sale') and https://salerozana.com/bagallery-1111-sale-2022-15
OYe Ji,oyeji.com,blog,7.5,B,low-medium (est.),,Write For Us page at oyeji.com/write-for-us/ (submission email and subject-line format stated there),Guest post: immediately actionable paid guest post (USD 25) or link insertion (USD 15) on beauty/skincare/wellness — fastest first editorial link | asset: Guest article linking Routine Finder (www.yellowpink.pk/quiz) and a skincare guide,,To do,,,,,,,,,https://oyeji.com/write-for-us/ live with 2026 posts; guest-post terms and submission email format confirmed on page
Startup Pakistan,startuppakistan.com.pk,news,7.5,B,31,,Contact/Submit-story page at startuppakistan.com.pk/contact-us/ (email in footer),Guest post / founder story: pitch a Yellow Pink e-commerce growth story (their beat covers PK retail brands and cosmetics listicles like '8 Best Makeup and Cosmetics Brands in Pakistan') | asset: www.yellowpink.pk homepage + Quick Answers free-tools hub as the differentiator hook,,To do,,,,,,,,,Covered both Makeup City (award story) and DVAGO (expansion story) with links; live with Aug 13 2026 articles
ProPakistani (Lens),propakistani.pk,news,7,B,48,,Contact Us page / Lens editorial and sponsored-content desk on propakistani.pk,Product review / roundup inclusion: pitch product picks into Lens lifestyle shopping roundups (Eid essentials format) which deep-link retailer product pages | asset: Giftable beauty product pages + Quick Answers hub (www.yellowpink.pk/answers),,To do,,,,,,,,,https://propakistani.pk/lens/last-week-eid-essentials-that-you-need-to-have/ (deep links to Bagallery products); also ran DVAGO brand stories
Dawn / Images,dawn.com,news,7,B,72,,images.dawn.com footer contact → dawn.com/contact; /contribution-guidelines page for contributors,"Expert quote or data citation: pitch Images the South Asian BMI cutoffs (overweight from 23, obesity from 27.5) for obesity/diabetes coverage, plus their 'skincare under Rs500' roundup format | asset: https://www.yellowpink.pk/bmi-calculator (South Asian ranges) + affordable product picks",,To do,,,,,,,,,https://images.dawn.com/news/1188893 (dofollow links to makeupcityshop.com/collections/st-london); Images has run '5 Pakistani skincare products under Rs500' pieces
Sunday Magazine,sunday.com.pk,news,7,B,25,,Contact page at sunday.com.pk/contact-us/ (Lahore office address listed),Product review / roundup inclusion: their Hair/Makeup/Skin Care guides link local shop product pages (red-lipstick guide linked Makeup City); pitch Yellow Pink products into equivalent guides | asset: Makeup/skincare product pages + Routine Finder (www.yellowpink.pk/quiz),,To do,,,,,,,,,https://sunday.com.pk/beauty/makeup/find-the-right-red-lipstick-for-the-right-girl/ (dofollow product link to makeupcityshop.com); live with 2026 coverage
Urdu Mom,urdumom.com,influencer,7,B,25,,Contact / Work-with-me page on urdumom.com,Product review or gifting: gifted/sponsored collaboration with a PK mom blogger; her Eid style guide already linked Makeup City — pair a gifted box with the formula-safety and pregnancy resources | asset: Formula milk safety guide + https://www.yellowpink.pk/pregnancy-calculator alongside gifted products,,To do,,,,,,,,,https://urdumom.com/2017/06/style-guide-to-be-eid-ready/ (links to makeupcityshop.com)
TheSkinPath,theskinpath.pk,blog,7,B,low (est.) but topically exact,,Contact Us link in theskinpath.pk footer,"Directory/brand listing: get a Yellow Pink coupon code added to their 'Skincare Coupon Codes & Discount Offers in Pakistan' page alongside Conatural, Jenpharm etc. | asset: Dedicated coupon code + www.yellowpink.pk homepage",,To do,,,,,,,,,https://theskinpath.pk/coupon-codes/ fetched; live coupon listing for PK skincare brands confirmed
Express Tribune Life & Style,tribune.com.pk,news,6.5,C,high (major national daily),,Contact Us page at tribune.com.pk/contact-us (footer),"Expert quote or data citation: pitch service-journalism angles — South Asian BMI cutoffs, pregnancy-test price table (Rs 60-7,999) — to their active skincare/wellness desk | asset: https://www.yellowpink.pk/bmi-calculator + pregnancy test guide price data",,To do,,,,,,,,,https://tribune.com.pk/lifestyle live with skincare/wellness service journalism ('Skincare 101: Best supplements for healthy skin')
HTV,htv.com.pk,blog,6.5,C,medium (est.),,Contact page at htv.com.pk/contact/; 'Advertise With Us' section,Guest post: women's-health guest content for their dermatologist-led Women's Health and Style & Beauty sections | asset: Fibroids (rasoli) guide + fertility quiz,,To do,,,,,,,,,https://htv.com.pk/ live with 2026 content; Women's Health section and expert roster at /meet-our-experts/ confirmed
The Current PK,thecurrent.pk,news,6.5,C,42,,Contact/About page on thecurrent.pk; social DMs listed there,Product review / roundup inclusion: pitch into their order-online gift guides (Mother's Day format that linked Makeup City) | asset: Giftable beauty product pages + Routine Finder,,To do,,,,,,,,,https://thecurrent.pk/mothers-day-gifts-that-you-can-order-online (dofollow link to makeupcityshop.com)
Flare Magazine,flare.pk,blog,6.5,C,23,,Contact/write-for-us page on flare.pk,Guest post: contributed skincare explainer (their 'Glass Skin in Pakistan' format) citing Yellow Pink's skincare collection and Routine Finder | asset: Routine Finder (www.yellowpink.pk/quiz) + skincare collection,,To do,,,,,,,,,https://flare.pk/2024/11/glass-skin-how-to-achieve-the-perfect-dewy-look-in-pakistan/ (links Cozmetica homepage and skincare collection)
B2B Pakistan,b2bpakistan.com,directory,6.5,C,22,,Add-listing / company registration form on b2bpakistan.com,"Directory/brand listing: free/paid listing in Beauty, Fitness & Personal Care and Health & Medical categories (holds listings for both Cozmetica and DVAGO) | asset: https://www.yellowpink.pk homepage",,To do,,,,,,,,,"https://b2bpakistan.com/1/beauty_fitness_personal_care.html?page=11 (Cozmetica, 43 backlinks) and Health_Medical DVAGO listings"
Jamal's Yellow Pages of Pakistan,jamals.com,directory,6.5,C,28,,Add-business / listing submission page on jamals.com,Directory/brand listing: standard business listing in the long-running PK yellow pages (lists both Bagallery and DVAGO's operator) | asset: https://www.yellowpink.pk homepage + NAP details,,To do,,,,,,,,,https://jamals.com/bagallery/114291 and https://www.jamals.com/nova-care-pvt-ltd./117511 (live website links)
ThePakistan.pk,thepakistan.pk,blog,6.5,C,16,,Contact page on thepakistan.pk,"Tool/resource mention: their health/beauty buying guides (best face wash, where-to-buy roundups) cite retailer pages — pitch Yellow Pink guides and product pages as sources | asset: Pregnancy test guide + skincare product pages",,To do,,,,,,,,,https://thepakistan.pk/best-face-wash-for-oily-skin-in-pakistan/ (links dvago.pk) and https://thepakistan.pk/branded-bags-perfumes-makeup-in-karachi/ (links makeupcityshop.com)
Islamabad Post,islamabadpost.com.pk,news,6,C,32,,Contact Us page on islamabadpost.com.pk (editorial/press releases),Guest post / contributed editorial: 'trending beauty products in Pakistan' style piece with retailer links (their proven format) | asset: www.yellowpink.pk homepage + bestseller category pages,,To do,,,,,,,,,"https://islamabadpost.com.pk/trending-beauty-products-in-pakistan-whats-hot-right-now/ (anchors 'Cozmetica', 'foundations')"
Something Haute,somethinghaute.com,blog,6,C,25,,Verify contact page via site navigation/social profiles before pitching (homepage fetch showed no contact path),Product review or gifting: press-gift the beauty desk around a launch or campaign (they cover beauty brand launches with dofollow links) | asset: New-arrival products + Routine Finder as the story hook,,To do,,,,,,,,,https://somethinghaute.com/zara-noor-abbas-the-new-glamorous-face-of-st-london/ (dofollow link to makeupcityshop.com collection)
Picodi Pakistan,picodi.com,directory,6,C,medium-high (global coupon network),,Contact link in picodi.com footer for merchant/partnership inquiries,Directory/brand listing: merchant store page with coupons in their PK Health & Beauty category | asset: www.yellowpink.pk homepage + coupon codes,,To do,,,,,,,,,https://www.picodi.com/pk/ live PK portal with Health & Beauty category and 'List of shops' section
PakistaniCoupons.net,pakistanicoupons.net,directory,6,C,low-medium (est.),,'+ Submit a Coupon' nav link; 'Paid Advertising' merchant page; footer Contact,"Directory/brand listing: store page + coupon listings in Health & Beauty category (398 stores listed, self-serve submission) | asset: www.yellowpink.pk homepage + coupon codes",,To do,,,,,,,,,https://pakistanicoupons.net/ fetched; Health & Beauty category and 'Submit a Coupon' nav link confirmed
Flashi,flashi.pk,directory,6,C,"low-medium (est., newer site)",,flashi.pk/contact form with 'Partnership' subject option,Directory/brand listing: 'suggest a new store' partnership for product-level price-comparison listings in their Beauty & Care and Health & Pharmacy categories | asset: Product catalog (canonical www product URLs),,To do,,,,,,,,,https://flashi.pk/ fetched; exact-match categories and partnership contact form confirmed
AfterShip eCommerce Library,ecommerce.aftership.com,directory,6,C,medium-high (aftership.com subdomain),,'Submit my store' button on the Pakistan stores page,"Directory/brand listing: 'Submit my store' to the Pakistan stores directory (lists Daraz, PriceOye, LAAM) | asset: https://www.yellowpink.pk homepage",,To do,,,,,,,,,https://ecommerce.aftership.com/countries/pk/stores fetched; 'Submit my store' CTA confirmed
StartupBlink,startupblink.com,directory,6,C,40,,Add-startup registration form on startupblink.com,Directory/brand listing: register a free startup profile to appear on Top Startups in Pakistan/Karachi pages | asset: https://www.yellowpink.pk homepage,,To do,,,,,,,,,https://www.startupblink.com/top-startups/pakistan lists Bagallery with a homepage link
Vocal Media,vocal.media,blog,6,C,71,,Create a publisher account at vocal.media and submit stories,"Guest post: self-published beauty/fertility stories on the platform linking Yellow Pink tools and guides (free, no gatekeeper; Cozmetica has 3 such articles) | asset: Quick Answers hub (www.yellowpink.pk/answers) + skincare/fertility articles",,To do,,,,,,,,,https://vocal.media/marriage/is-there-a-need-of-bb-cream-for-dry-skin (links cozmetica.pk collections)
Chughtai Lab blog,chughtailab.com,blog,6,C,41,,Contact Us page on chughtailab.com (marketing/content team),Expert quote or data citation: their health blog links retail product pages; pitch the pregnancy-test guide and relevant product pages as citations — natural mutual angle since Yellow Pink's HSG guide cites major lab-chain prices | asset: Pregnancy test guide + HSG tube-test guide,,To do,,,,,,,,,https://chughtailab.com/best-medicines-for-flu-pakistan/ (links a dvago.pk product page)
Branded Girls,brandedgirls.com,blog,6,C,medium (est.),,Contact us / About Us pages in site footer,Product review / roundup inclusion: sponsored beauty feature or inclusion in their Makeup & Beauty listicles | asset: Routine Finder (www.yellowpink.pk/quiz) + product picks,,To do,,,,,,,,,"https://www.brandedgirls.com/top-beauty-bloggers-in-pakistan/ live, updated for 2026; active Makeup & Beauty section"
Outfit Trends,outfittrends.com,blog,6,C,medium (est.),,Contact and About links in site footer,Guest post: Pakistani beauty content (their PK beauty coverage updated Jun 2026) linking Yellow Pink guides and Routine Finder | asset: Routine Finder + skincare guides on www.yellowpink.pk/blog,,To do,,,,,,,,,"https://www.outfittrends.com/pakistani-beauty-bloggers/ live, updated Jun 23 2026"
HealthClub.pk,healthclub.pk,blog,6,C,11,,Contact page on healthclub.pk,Tool/resource mention: their shampoo/serum product content links retailer categories (linked Cozmetica's Garnier collection); pitch Yellow Pink category pages and the calorie calculator for supplement content | asset: Vitamin/serum category pages + https://www.yellowpink.pk/calorie-calculator,,To do,,,,,,,,,https://healthclub.pk/product/brighten-firm-15-vitamin-c-serum/ (links cozmetica.pk/collections/garnier)
Berocca Pakistan (Bayer),berocca.pk,brand,6,C,20,,Bayer Pakistan trade/consumer contact via berocca.pk footer,Directory/brand listing: official 'BUY NOW' stockist link on the Bayer brand site — conditional on Yellow Pink stocking Berocca; one Bayer PK trade contact also unlocks redoxon.pk and rennie.pk where-to-buy pages | asset: Berocca product page on www.yellowpink.pk,,To do,,,,,,,,,https://www.berocca.pk/products (BUY NOW links to dvago.pk product page); same pattern on redoxon.pk and rennie.pk
Cosmetics.pk,cosmetics.pk,blog,6,C,9,,Contact page on cosmetics.pk,Product review / roundup inclusion: niche-exact placement in their beauty roundups (mascara roundup cited a Cozmetica blog post) — pitch Yellow Pink blog guides for citation | asset: Beauty product guides on www.yellowpink.pk/blog + product pages,,To do,,,,,,,,,https://cosmetics.pk/best-mascara-options-in-pakistan/ (cites a cozmetica.pk blog post)
