Section,Gap (search term),PK searches/mo,Competition (0-1),Status,Suggested product to list,Local source (site),Local price (PKR),Source URL,Notes
Skincare/Beauty,Retinol serum,8100,0.25,Gap (have retinAL not retinol),Retinol 0.2-0.5% serum,"The Ordinary (ordinary.pk)",3590,https://ordinary.pk/product/the-ordinary-retinol-serum-0-2-in-squalane/,"Store stocks retinAL boosters (Celimax/BoJ) but no classic retinol serum"
Skincare/Beauty,Hyaluronic acid serum,5400,0.15,Gap,HA 2% + B5 serum,"Conatural (conaturalintl.com)",1465,https://conaturalintl.com/products/hyaluronic-acid-2-b5-super-activ-skin-serum,"Local far cheaper than The Ordinary HA (~3650); no dedicated HA serum stocked"
Skincare/Beauty,Lip balm,5400,0.08,Gap,Hydrating lip balm,"Saeed Ghani (saeedghani.pk)",350,https://saeedghani.pk/products/ultra-hydrating-nourishing-lip-balm,"Store has lip tints/gloss but no balm. Conatural ~499; Vaseline ~475"
Skincare/Beauty,Hair growth serum/oil,4400,0.16,Gap,Hair growth oil/serum,"Saeed Ghani (saeedghani.pk)",480 (120ml),https://saeedghani.pk/products/hair-growth-water,"Only Argan hair mask stocked. Cheap local; onion oil ~408"
Skincare/Beauty,Minoxidil,4400,0.28,Gap,Minoxidil 5% solution,"Minoxin Plus (healthwire.pk / dvago.pk)",~800-900,https://healthwire.pk/pharmacy/medicine/minoxin-plus-solution,"Pharmacy item; ReGro 5% & Hair Max Plus also on DVAGO"
Skincare/Beauty,Eyeliner,3600,0.05,Gap,Liquid/pencil eyeliner,"Rivaj UK (daraz.pk)",250-700,https://www.daraz.pk/kajal/rivaj-uk/,"Pair with kajal; local color brands"
Skincare/Beauty,Micellar water,2900,0.08,Gap,Micellar cleansing water,"Garnier (vegas.pk)",~1394 (400ml),https://www.vegas.pk/pd/Garnier/garnier-skin-active-micellar-cleansing-all-in-one-water-400ml,"100ml ~349; widely stocked. Price unconfirmed — verify"
Skincare/Beauty,Mascara,1000,0.10,Gap,Volumising mascara,"Rivaj UK (daraz.pk) / Sweet Touch",~435-695 / 1380-1920,https://www.daraz.pk/womens-mascara/rivaj-uk/,"No mascara stocked; local color brands cheapest"
Skincare/Beauty,Lip liner,1000,0.11,Gap,Waterproof lip pencil,"Rivaj UK (naheed.pk)",~108-235,https://www.naheed.pk/rivaj-uk-the-color-art-long-lasting-waterproof-lipstick-pencil-08-pink,"Local, many shades. Price unconfirmed — verify"
Skincare/Beauty,Setting spray,880,0.16,Gap,Makeup fixer/setting spray,"Rivaj UK (rios.pk)",494 (100ml),https://www.rios.pk/products/makeup-fixer-100ml,"Local; 180ml ~520-650"
Skincare/Beauty,Sheet mask,590,0.07,Gap,Hydrating tissue/sheet mask,"Garnier Hydra Bomb (naheed.pk)",~300-500,https://www.naheed.pk/garnier-skin-active-hydra-bomb-tissue-mask-for-dry-or-sensitive-skin-32g,"Several variants; ties to existing K-beauty skincare. Price unconfirmed — verify"
